kaBP,depth,accrate,Erica,Allophylus,Acacia,Combretum,Commiphora,Cussonia,Dobera,Lannea,Macaranga,Olea,Podocarpus,Phoenix,Rhus,Securinega,Teclea,Zanthoxylum,Melastomataceae,Cassia,Capparidaceae,Maytenus,Acalypha,Euphorbia,Euphorbiacea,Phyllantus,Tamarindus,Buxus,Psydrax,Celastraceae,Celtis,Alchornea,Dodonaea,Ekebergia,Ephedra,Ficus,Ilex,Clematis,Euclea,Hagenia,Juniperus,Myrica,Myrsine,Rapanea,Rosa,Schefflera,Hypoestes,Hypericum,Anthospermum,Alchemilla,Aloe,Chenopodiaceae,Artemisia,Cichoroideae,Aster,Asteroideae,Carduus,Cerastium,Cerealia,Plantago,Poaceae,Asteraceae,Vernonia,Rumex,Polygonum,Solanum,Tribulus,Apiaceae,Urticaceae,Ziziphus,Brucea,Ricinus,Sapotaceae,Iridaceae,Asphodellus,Anthyllis,Leguminosae,Galium,Rubiaceae,Brassicaceae,Acanthus,Blepharis,Justicia,Caryophylaceae,Chorcorus,Satureja,Swertia,Senecio,Heliotropium,Kohautia,Indigofera,Lamiaceae,Ranunculus,Thalictrum,Callytriche,Monoletes,Triletes,Cyperaceae,Typha,Botryococcus,Undetermined,Lycopodium,Lyc.conc
0.094,60,19,5,0,0,3,5,5,1,2,0,8,60,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,16,142,5,1,2,1,0,0,4,3,10,0,14,3,0,2,18,26,0,5,111,102,18,0,9,2,1,1,3,6,0,0,0,0,0,0,0,5,1,1,0,0,0,1,1,1,0,0,4,1,0,0,0,2,1,0,0,0,8,0,473,3,294,31272
0.17,64,20,8,0,0,5,2,1,0,2,4,43,60,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,32,140,4,0,0,0,0,0,5,4,10,0,19,3,0,0,21,26,0,2,200,127,23,0,9,3,2,0,4,3,0,0,0,0,3,0,0,5,1,1,0,0,1,0,3,1,1,0,5,0,1,0,4,2,1,0,3,0,9,1,624,5,118,31272
0.228,67,19,7,0,0,3,2,5,0,4,0,10,77,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,26,156,2,1,1,3,0,0,2,7,4,0,14,0,0,1,17,28,0,1,4,98,5,0,12,4,1,2,4,4,0,0,0,0,2,0,1,4,1,0,2,1,1,0,4,0,1,0,2,0,0,1,4,1,0,1,2,1,11,0,421,5,124,31272
0.265,69,20,14,0,0,2,1,3,0,0,2,22,89,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,28,150,5,2,0,0,0,0,3,9,10,1,5,4,0,0,9,19,0,4,11,117,3,0,11,5,1,2,3,1,0,0,0,0,3,0,0,1,0,1,1,0,1,0,4,0,1,0,5,0,1,1,0,0,1,0,2,3,17,1,606,1,365,31272
0.304,71,18,20,0,0,2,1,1,0,4,2,26,57,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,20,137,5,2,1,0,0,0,5,6,2,1,3,4,0,0,14,16,0,3,11,225,3,0,8,0,1,2,3,5,0,0,0,0,4,0,0,2,1,0,2,0,0,0,4,0,0,1,2,1,0,0,1,2,0,0,1,3,14,0,665,5,215,31272
0.436,78,18,34,0,0,4,3,0,0,1,1,30,92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,18,176,5,0,2,0,0,0,4,6,0,2,1,0,0,1,10,26,0,5,14,190,4,0,11,3,0,1,8,5,0,0,1,0,2,0,0,0,0,0,2,1,1,2,2,1,1,0,1,1,1,1,4,1,0,1,5,2,8,0,670,2,217,31272
0.473,80,19,19,0,0,5,4,5,0,1,1,37,86,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,1,24,159,0,1,1,0,0,0,3,5,10,1,2,2,0,0,7,27,0,6,10,226,3,1,12,0,1,0,2,5,0,0,0,0,5,0,1,0,0,0,2,0,1,0,3,1,0,1,0,0,0,0,2,0,0,0,1,3,18,0,539,1,210,31272
0.511,82,18,17,0,0,2,4,2,4,1,3,6,86,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,16,0,0,0,0,0,1,37,164,3,1,2,0,0,0,4,7,8,1,0,4,0,1,13,23,0,1,2,231,16,0,3,3,0,0,4,3,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,0,1,1,3,0,0,0,2,1,0,1,1,4,20,1,570,3,206,31272
0.567,85,19,32,0,0,2,1,0,2,2,0,30,96,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,1,0,1,22,169,1,1,0,3,0,0,5,9,2,0,3,0,0,0,17,26,0,2,9,211,10,0,5,3,0,0,5,2,0,0,0,0,4,0,1,4,0,1,2,0,0,1,0,0,1,0,1,0,0,0,4,2,1,0,5,0,18,1,585,4,198,31272
0.605,87,19,28,0,0,2,0,4,1,0,2,42,98,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,0,1,18,144,2,0,0,0,0,0,3,3,7,2,3,2,0,0,23,23,0,2,13,215,13,0,4,1,0,0,0,3,0,0,0,0,5,0,1,4,1,1,1,1,1,2,5,1,1,1,0,1,1,0,3,2,0,0,2,4,13,0,321,5,185,31272
